common_name,scientific_name,alternative_common_names,alternative_scientific_names
Rubeho Akalat,Sheppardia aurantiithorax,,
Gabela Akalat,Sheppardia gabela,Akalat de Gabela,
Equatorial Akalat,Sheppardia aequatorialis,Merle rougegorge �quatorial,
Lowland Akalat,Sheppardia cyornithopsis,"Merle rougegorge, Akalat",
East Coast Akalat,Sheppardia gunningi,"Akalat de Gunning, Gunning's Akalat",
Sharpe's Akalat,Sheppardia sharpei,Akalat de Sharpe,
Grey-winged Akalat,Sheppardia polioptera,"Cossyphe � sourcils blancs, Grey-winged Robin-Chat, Grey-winged Robin, Grey-winged Robin-chat",Cossypha polioptera
Short-tailed Akalat,Sheppardia poensis,,
Bocage's Akalat,Sheppardia bocagei,,
,Sheppardia poensis,Alexander's Akalat,
,Sheppardia bocagei,"Cossyphe � joues rousses, Bocage's Robin",
,Sheppardia bocagei,,
Minahasa Shortwing,Heinrichia simplex,,
Great Shortwing,Heinrichia calligyna,,
,Heinrichia calligyna,,
Eyebrowed Jungle-flycatcher,Vauriella gularis,"Eyebrowed Jungle-Flycatcher, Eyebrowed Jungle Flycatcher",Rhinomyias gularis
White-throated Jungle-flycatcher,Vauriella albigularis,"White-throated Jungle-Flycatcher, White-throated Jungle Flycatcher",Rhinomyias albigularis
White-browed Jungle-flycatcher,Vauriella insignis,"White-browed Jungle-Flycatcher, White-browed Jungle Flycatcher",Rhinomyias insignis
Slaty-backed Jungle-flycatcher,Vauriella goodfellowi,"Slaty-backed Jungle-Flycatcher, Slaty-backed Jungle Flycatcher",Rhinomyias goodfellowi
Gould's Shortwing,Heteroxenicus stellatus,,Brachypteryx stellata
Rusty-bellied Shortwing,Brachypteryx hyperythra,Rusty-breasted Shortwing,
Lesser Shortwing,Brachypteryx leucophris,,Brachypteryx leucophris
Himalayan Shortwing,Brachypteryx cruralis,,
Chinese Shortwing,Brachypteryx sinensis,,
Taiwan Shortwing,Brachypteryx goodfellowi,,
Philippine Shortwing,Brachypteryx poliogyna,,
Bornean Shortwing,Brachypteryx erythrogyna,,
Sumatran Shortwing,Brachypteryx saturata,,
Javan Shortwing,Brachypteryx montana,,
Flores Shortwing,Brachypteryx floris,,
,Brachypteryx major,White-bellied Shortwing,
,Brachypteryx montana,,
Rufous-headed Robin,Larvivora ruficeps,,Luscinia ruficeps
Indian Blue Robin,Larvivora brunnea,,Luscinia brunnea
Siberian Blue Robin,Larvivora cyane,,Luscinia cyane
Rufous-tailed Robin,Larvivora sibilans,,Luscinia sibilans
Japanese Robin,Larvivora akahige,,
Izu Robin,Larvivora tanensis,,
Ryukyu Robin,Larvivora komadori,,
Okinawa Robin,Larvivora namiyei,,
,Larvivora akahige,,
,Larvivora komadori,,
White-throated Robin,Irania gutturalis,"Irania, Iranie � gorge blanche",
White-bellied Redstart,Hodgsonius phaenicuroides,,
Bluethroat,Cyanecula svecica,Gorgebleue,Luscinia svecica
Thrush Nightingale,Luscinia luscinia,"Thrush-Nightingale, Rossignol progn�",
Common Nightingale,Luscinia megarhynchos,"Nightingale, Rossignol philom�le",
Firethroat,Calliope pectardens,,Luscinia pectardens
Blackthroat,Calliope obscura,Black-throated Blue Robin,Erithacus obscurus; Luscinia obscura
Siberian Rubythroat,Calliope calliope,,Luscinia calliope
Himalayan Rubythroat,Calliope pectoralis,,
Chinese Rubythroat,Calliope tschebaiewi,,
,Calliope pectoralis,,
White-tailed Blue Robin,Myiomela leucura,,Cinclidium leucurum
Cambodian Blue Robin,Myiomela cambodiana,Cambodian White-tailed Robin,
Sunda Blue Robin,Myiomela diana,Sunda Robin,Cinclidium diana
,Myiomela leucurum,,
Rufous-breasted Bush-robin,Tarsiger hyperythrus,"Rufous-breasted Bush-Robin, Rufous-breasted Bush Robin",
Orange-flanked Bush-robin,Tarsiger cyanurus,,
Himalayan Bush-robin,Tarsiger rufilatus,Himalayan Bluetail,
White-browed Bush-robin,Tarsiger indicus,"White-browed Bush Robin, White-browed Bush-Robin",
Collared Bush-robin,Tarsiger johnstoniae,"Collared Bush-Robin, Collared Bush Robin",
Golden Bush-robin,Tarsiger chrysaeus,"Golden Bush Robin, Golden Bush-Robin",
,Tarsiger cyanurus,"Orange-flanked Bush-Robin, Red-flanked Bluetail",
Little Forktail,Enicurus scouleri,,
Slaty-backed Forktail,Enicurus schistaceus,,
Sunda Forktail,Enicurus velatus,,
Chestnut-naped Forktail,Enicurus ruficapillus,,
Black-backed Forktail,Enicurus immaculatus,,
White-crowned Forktail,Enicurus leschenaulti,,
Spotted Forktail,Enicurus maculatus,,
,Enicurus borneensis,,
Blue-fronted Robin,Cinclidium frontale,,
Sri Lanka Whistling-thrush,Myophonus blighi,"Sri Lanka Whistling Thrush, Ceylon Whistling-Thrush",
Shiny Whistling-thrush,Myophonus melanurus,"Shiny Whistling-Thrush, Shiny Whistling Thrush",
Javan Whistling-thrush,Myophonus glaucinus,Sunda Whistling Thrush,
Sumatran Whistling-thrush,Myophonus castaneus,"Brown-winged Whistling Thrush, Chestnut-winged Whistling-thrush",
Bornean Whistling-thrush,Myophonus borneensis,,
Malay Whistling-thrush,Myophonus robinsoni,"Malayan Whistling-Thrush, Malayan Whistling Thrush, Malaysian Whistling-thrush",Myiophoneus robinsoni; Myiophonus robinsoni
Malabar Whistling-thrush,Myophonus horsfieldii,"Malabar Whistling Thrush, Malabar Whistling-Thrush",
Taiwan Whistling-thrush,Myophonus insularis,"Taiwan Whistling Thrush, Formosan Whistling-Thrush",
Blue Whistling-thrush,Myophonus caeruleus,"Blue Whistling Thrush, Blue Whistling-Thrush",
,Myophonus glaucinus,Sunda Whistling-Thrush,
Yellow-rumped Flycatcher,Ficedula zanthopygia,,
Green-backed Flycatcher,Ficedula elisae,,
Narcissus Flycatcher,Ficedula narcissina,,
Ryukyu Flycatcher,Ficedula owstoni,,
Mugimaki Flycatcher,Ficedula mugimaki,,
Slaty-backed Flycatcher,Ficedula erithacus,,Ficedula sordida
Slaty-blue Flycatcher,Ficedula tricolor,,
Snowy-browed Flycatcher,Ficedula hyperythra,,
Pygmy Blue-flycatcher,Ficedula hodgsoni,"Pygmy Blue-Flycatcher, Pygmy Flycatcher",Muscicapella hodgsoni
Rufous-gorgeted Flycatcher,Ficedula strophiata,,
Sapphire Flycatcher,Ficedula sapphira,,
Ultramarine Flycatcher,Ficedula superciliaris,,
Little Pied Flycatcher,Ficedula westermanni,,
Rusty-tailed Flycatcher,Ficedula ruficauda,,Muscicapa ruficauda
Red-breasted Flycatcher,Ficedula parva,,
Red-throated Flycatcher,Ficedula albicilla,Taiga Flycatcher,
Kashmir Flycatcher,Ficedula subrubra,,
Semi-collared Flycatcher,Ficedula semitorquata,"Half-collared Flycatcher, Semicollared Flycatcher, Gobemouche � demi-collier",
European Pied Flycatcher,Ficedula hypoleuca,"Gobemouche noir, Pied Flycatcher",
Collared Flycatcher,Ficedula albicollis,Gobemouche � collier,
Damar Flycatcher,Ficedula henrici,"Lwotu Lwotu, Damar Blue Flycatcher",
Rufous-throated Flycatcher,Ficedula rufigula,,
Cinnamon-chested Flycatcher,Ficedula buruensis,,
Sumba Flycatcher,Ficedula harterti,Sumba Blue Flycatcher,
Black-banded Flycatcher,Ficedula timorensis,,
Little Slaty Flycatcher,Ficedula basilanica,,
Thicket Flycatcher,Ficedula luzoniensis,,
Cryptic Flycatcher,Ficedula crypta,,
Lompobattang Flycatcher,Ficedula bonthaina,Lompobatang Flycatcher,
Black-and-orange Flycatcher,Ficedula nigrorufa,Black-and-rufous Flycatcher,
Rufous-chested Flycatcher,Ficedula dumetoria,,
Tanimbar Flycatcher,Ficedula riedeli,,
Furtive Flycatcher,Ficedula disposita,,
Palawan Flycatcher,Ficedula platenae,,
,Ficedula parva,Gobemouche nain,
,Ficedula beijingnica,Bejing Flycatcher,
,Ficedula speculigera,"Atlas Pied Flycatcher, Atlas Flycatcher",
,Ficedula narcissina,,
,Ficedula hyperythra,,
,Ficedula dumetoria,,
,Ficedula crypta,,
Ala Shan Redstart,Phoenicurus alaschanicus,Przevalski's Redstart,
Eversmann's Redstart,Phoenicurus erythronotus,Rufous-backed Redstart,Phoenicurus erythronota
Blue-fronted Redstart,Phoenicurus frontalis,,
Blue-capped Redstart,Phoenicurus coeruleocephala,,Phoenicurus caeruleocephalus
White-throated Redstart,Phoenicurus schisticeps,,
White-capped Water-redstart,Phoenicurus leucocephalus,"White-capped Redstart, White-capped Water-Redstart",Chaimarrornis leucocephalus
Plumbeous Water-redstart,Phoenicurus fuliginosus,"Plumbeous Water Redstart, Plumbeous Water-Redstart",Rhyacornis fuliginosus; Rhyacornis fuliginosa
Luzon Water-redstart,Phoenicurus bicolor,"Luzon Water-Redstart, Luzon Water Redstart, Luzon Redstart, Philippine Water-redstart",Rhyacornis bicolor
Black Redstart,Phoenicurus ochruros,Rougequeue noir,
Common Redstart,Phoenicurus phoenicurus,"Redstart, Rougequeue � front blanc",
Moussier's Redstart,Phoenicurus moussieri,,
Daurian Redstart,Phoenicurus auroreus,,
White-winged Redstart,Phoenicurus erythrogastrus,G�ldenst�dt's Redstart,Phoenicurus erythrogaster
Hodgson's Redstart,Phoenicurus hodgsoni,,
Blue-capped Rock-thrush,Monticola cinclorhyncha,"Blue-capped Rock Thrush, Blue-capped Rock-Thrush",
Chestnut-bellied Rock-thrush,Monticola rufiventris,"Chestnut-bellied Rock-Thrush, Chestnut-bellied Rock Thrush",
White-throated Rock-thrush,Monticola gularis,"White-throated Rock Thrush, White-throated Rock-Thrush",
Short-toed Rock-thrush,Monticola brevipes,"Merle de roche brachydactyle, Short-toed Rock Thrush",
Sentinel Rock-thrush,Monticola explorator,"Sentinel Rock-Thrush, Sentinel Rock Thrush, Merle de roche montagnard",
Littoral Rock-thrush,Monticola imerina,"Littoral Rock Thrush, Littoral Rock-Thrush, Merle de roche malgache",Pseudocossyphus imerinus
Amber Mountain Rock-thrush,Monticola erythronotus,,
Forest Rock-thrush,Monticola sharpei,,
Rufous-tailed Rock-thrush,Monticola saxatilis,"European Rock Thrush, Rufous-tailed Rock-Thrush, Merle de roche, Rock Thrush, Rufous-tailed Rock Thrush",
Blue Rock-thrush,Monticola solitarius,"Blue Rock Thrush, Merle bleu, Blue Rock-Thrush",
Little Rock-thrush,Monticola rufocinereus,"Little Rock Thrush, Little Rock-Thrush, Petit Merle de roche",
White-winged Cliff-chat,Monticola semirufus,"White-winged Cliff-Chat, Traquet de roche � ailes blanches, White-winged Cliff Chat",Thamnolaea semirufa; Myrmecocichla semirufa
Miombo Rock-thrush,Monticola angolensis,"Miombo Rock-Thrush, Merle de roche d'Angola, Miombo Rock Thrush",
Cape Rock-thrush,Monticola rupestris,"Merle de roche du Cap, Cape Rock-Thrush, Cape Rock Thrush",
,Monticola pretoriae,Transvaal Rock-Thrush,
,Monticola bensoni,"Benson's Rock Thrush, Benson's Rock-thrush, Benson's Rock-Thrush, Merle de roche de Benson",
,Monticola brevipes,Short-toed Rock-Thrush,
,Monticola sharpei,"Forest Rock Thrush, Merle de roche des for�ts, Forest Rock-Thrush",
Jerdon's Bushchat,Saxicola jerdoni,Jerdon's Bush Chat,
Grey Bushchat,Saxicola ferreus,Grey Bush Chat,Saxicola ferrea
White-bellied Bushchat,Saxicola gutturalis,"Timor Bushchat, White-bellied Bush Chat",
Whinchat,Saxicola rubetra,Traquet tarier,
White-browed Bushchat,Saxicola macrorhynchus,"White-browed Bush Chat, Stoliczka's Bushchat",Saxicola macrorhyncha
White-throated Bushchat,Saxicola insignis,"Hodgson's Bushchat, White-throated Bush Chat",
Pied Bushchat,Saxicola caprata,"Pied Stonechat, Pied Bush Chat",
White-tailed Stonechat,Saxicola leucurus,,Saxicola leucura
Fuerteventura Stonechat,Saxicola dacotiae,"Canary Islands Stonechat, Canary Chat, Canary Islands Bush Chat, Canary Islands Chat",
Common Stonechat,Saxicola torquatus,"Eurasian Stonechat, Traquet p�tre, Stonechat",Saxicola torquata
Reunion Stonechat,Saxicola tectes,"Traquet de la R�union, R�union Stonechat",
,Saxicola sibilla,,
,Saxicola rubicola,,
,Saxicola maurus,,
,Saxicola axillaris,,
Buff-streaked Chat,Campicoloides bifasciatus,Traquet � ventre fauve,Saxicola bifasciata; Oenanthe bifasciata
Karoo Chat,Emarginata schlegelii,Traquet du Karoo,Cercomela schlegelii
Sickle-winged Chat,Emarginata sinuata,"Traquet de roche brun, Sicklewing Chat",Cercomela sinuata
Tractrac Chat,Emarginata tractrac,Traquet de roche p�le,Cercomela tractrac
Moorland Chat,Pinarochroa sordida,"Traquet afroalpin, Alpine Chat",Cercomela sordida
Mocking Cliff-chat,Thamnolaea cinnamomeiventris,"Mocking Chat, Traquet de roche � ventre roux",Myrmecocichla cinnamomeiventris
,Thamnolaea coronata,White-crowned Cliff-Chat,
,Thamnolaea cinnamomeiventris,Mocking Cliff-Chat,
Sooty Chat,Myrmecocichla nigra,Traquet-fourmilier noir,
Northern Anteater-chat,Myrmecocichla aethiops,"Ant Chat, Northern Ant-eating Chat, Traquet-fourmilier brun du nord, Northern Anteater-Chat, Anteater Chat, Northern Anteater Chat",
Congo Moor-chat,Myrmecocichla tholloni,"Congo Moor-Chat, Traquet-fourmilier du Congo, Congo Moor Chat",
Southern Anteater-chat,Myrmecocichla formicivora,"Southern Ant-eating Chat, Traquet-fourmilier brun du sud, Southern Anteater-Chat, Ant-eating Chat",
Mountain Wheatear,Myrmecocichla monticola,"Mountain Chat, Traquet montagnard",Oenanthe monticola
R�ppell's Chat,Myrmecocichla melaena,"Traquet noir d'Abyssinie, R�ppell's Black Chat, Rueppell's Chat",
Arnot's Chat,Myrmecocichla arnotti,"Arnott's Chat, Traquet noir d'Arnot, White-headed Black-Chat, White-headed Black-chat",Myrmecocichla arnotti
Northern Wheatear,Oenanthe oenanthe,,
Black-throated Wheatear,Oenanthe seebohmi,,
Capped Wheatear,Oenanthe pileata,Traquet du Cap,
Rusty-breasted Wheatear,Oenanthe frenata,,
Buff-breasted Wheatear,Oenanthe bottae,,
Heuglin's Wheatear,Oenanthe heuglinii,,
Isabelline Wheatear,Oenanthe isabellina,Traquet isabelle,
Hooded Wheatear,Oenanthe monacha,Traquet � capuchon,
Desert Wheatear,Oenanthe deserti,Traquet du d�sert,
Black-eared Wheatear,Oenanthe hispanica,Traquet oreillard,
Cyprus Wheatear,Oenanthe cypriaca,,
Pied Wheatear,Oenanthe pleschanka,Traquet pie,
White-fronted Black-chat,Oenanthe albifrons,"White-fronted Black-Chat, Traquet noir � front blanc, White-fronted Black Chat",Myrmecocichla albifrons
Somali Wheatear,Oenanthe phillipsi,Traquet de Somalie,
Buff-rumped Wheatear,Oenanthe moesta,Red-rumped Wheatear,
Blackstart,Oenanthe melanura,Traquet de roche � queue noire,Cercomela melanura
Familiar Chat,Oenanthe familiaris,Traquet de roche � queue rousse,Cercomela familiaris
Brown-tailed Chat,Oenanthe scotocerca,"Brown-tailed Rock Chat, Traquet de roche � queue brune",Cercomela scotocerca
Sombre Rockchat,Oenanthe dubia,"Sombre Rock Chat, Traquet de roche sombre, Sombre Chat",Cercomela dubia
Brown Rockchat,Oenanthe fusca,"Brown Rock Chat, Indian Chat",Cercomela fusca
Variable Wheatear,Oenanthe picata,Eastern Pied Wheatear,
Black Wheatear,Oenanthe leucura,Traquet rieur,
White-crowned Wheatear,Oenanthe leucopyga,"White-crowned Black Wheatear, Traquet � t�te blanche, White-tailed Wheatear",
Hume's Wheatear,Oenanthe albonigra,,Oenanthe alboniger
Finsch's Wheatear,Oenanthe finschii,,
Mourning Wheatear,Oenanthe lugens,Traquet deuil,Oenanthe lugentoides
Red-tailed Wheatear,Oenanthe chrysopygia,,
Kurdish Wheatear,Oenanthe xanthoprymna,Kurdistan Wheatear,
,Oenanthe bottae,"Red-breasted Wheatear, Traquet � poitrine rousse, Botta's Wheatear",
,Oenanthe lugubris,Schalow's Wheatear,
,Oenanthe xanthoprymna,"Chestnut-rumped Wheatear, Rufous-tailed Wheatear, Traquet � queue rousse, Kurdistan Wheatear",
,Oenanthe bottae,"Traquet � poitrine rousse , Red-breasted Wheatear",
,Oenanthe melanoleuca,Eastern Black-eared Wheatear,
,Oenanthe oenanthe,"Traquet motteux, European Wheatear, Wheatear",
,Oenanthe lugens,Traquet deuil,
,Oenanthe lugentoides,,
,Oenanthe lugens,,
Boulder Chat,Pinarornis plumosus,Merle des rochers,
Ruby-crowned Kinglet,Regulus calendula,,
Golden-crowned Kinglet,Regulus satrapa,,
Flamecrest,Regulus goodfellowi,,
Goldcrest,Regulus regulus,,
Madeira Firecrest,Regulus madeirensis,"Madeiran Kinglet, Madeira Kinglet",
Common Firecrest,Regulus ignicapilla,Firecrest,
,Regulus ignicapillus,Firecrest,
,Regulus teneriffae,Canary Islands Kinglet,
,Regulus regulus,,
Palmchat,Dulus dominicus,,
Hypocolius,Hypocolius ampelinus,"Hypocolius gris, Grey Hypocolius",
Northern Hylocitrea,Hylocitrea bonensis,,
Southern Hylocitrea,Hylocitrea bonthaina,,
,Hylocitrea bonensis,Yellow-flanked Whistler,
Bohemian Waxwing,Bombycilla garrulus,Waxwing,
Japanese Waxwing,Bombycilla japonica,,
Cedar Waxwing,Bombycilla cedrorum,,
Black-and-yellow Silky-flycatcher,Phainoptila melanoxantha,Black-and-yellow Phainoptila,
Phainopepla,Phainopepla nitens,,
Grey Silky-flycatcher,Ptiliogonys cinereus,Gray Silky-flycatcher,
Long-tailed Silky-flycatcher,Ptiliogonys caudatus,,
Kauai Oo,Moho braccatus,Kaua'i 'O'o,
Oahu Oo,Moho apicalis,O'ahu 'O'o,
Bishop's Oo,Moho bishopi,"Bishop's 'O'o, Molokai 'o'o",
Hawaii Oo,Moho nobilis,Hawai'i 'O'o,
Kioea,Chaetoptila angustipluma,,
Spotted Elachura,Elachura formosa,"Spotted Wren-Babbler, Spotted Wren-babbler",Spelaeornis formosus
Cape Sugarbird,Promerops cafer,Prom�rops du Cap,
Gurney's Sugarbird,Promerops gurneyi,Prom�rops de Gurney,
Dapple-throat,Arcanator orostruthus,"Dappled Mountain-robin, Dappled Mountain Robin, Grive tachet�e",Arcanator orostruthus; Modulatrix orostruthus
Spot-throat,Modulatrix stictigula,Grive � gorge tachet�e,
Grey-chested Kakamega,Kakamega poliothorax,"Grey-chested Illadopsis, Grive-akalat � poitrine grise, Grey-chested Babbler",
Asian Fairy-bluebird,Irena puella,,
Palawan Fairy-bluebird,Irena tweeddalii,,
Philippine Fairy-bluebird,Irena cyanogastra,,Irena cyanogaster
,Irena puella,,
Sumatran Leafbird,Chloropsis media,,
Greater Green Leafbird,Chloropsis sonnerati,,
Lesser Green Leafbird,Chloropsis cyanopogon,,
Yellow-throated Leafbird,Chloropsis palawanensis,,
Philippine Leafbird,Chloropsis flavipennis,,
Golden-fronted Leafbird,Chloropsis aurifrons,,
Blue-masked Leafbird,Chloropsis venusta,,
Jerdon's Leafbird,Chloropsis jerdoni,,
Orange-bellied Leafbird,Chloropsis hardwickii,,
Greyish-crowned Leafbird,Chloropsis lazulina,,
Bornean Leafbird,Chloropsis kinabaluensis,,
Blue-winged Leafbird,Chloropsis moluccensis,,
Javan Leafbird,Chloropsis cochinchinensis,,
,Chloropsis hardwickii,,
,Chloropsis aurifrons,,
,Chloropsis cochinchinensis,,
,Chloropsis cochinchinensis,,
Olive-backed Flowerpecker,Prionochilus olivaceus,,
Yellow-breasted Flowerpecker,Prionochilus maculatus,,
Scarlet-breasted Flowerpecker,Prionochilus thoracicus,,
Yellow-rumped Flowerpecker,Prionochilus xanthopygius,,
Crimson-breasted Flowerpecker,Prionochilus percussus,,
Palawan Flowerpecker,Prionochilus plateni,,
Yellow-bellied Flowerpecker,Dicaeum melanozanthum,,
Yellow-vented Flowerpecker,Dicaeum chrysorrheum,,
White-throated Flowerpecker,Dicaeum vincens,Legge's Flowerpecker,
Golden-rumped Flowerpecker,Dicaeum annae,,
Thick-billed Flowerpecker,Dicaeum agile,,Dicaeum aeruginosum
Brown-backed Flowerpecker,Dicaeum everetti,,
Whiskered Flowerpecker,Dicaeum proprium,,
Yellow-crowned Flowerpecker,Dicaeum anthonyi,,
Flame-crowned Flowerpecker,Dicaeum kampalili,,
Bicoloured Flowerpecker,Dicaeum bicolor,Bicolored Flowerpecker,
Yellow-sided Flowerpecker,Dicaeum aureolimbatum,,
Orange-bellied Flowerpecker,Dicaeum trigonostigma,,
Red-keeled Flowerpecker,Dicaeum australe,Red-striped Flowerpecker,
Black-belted Flowerpecker,Dicaeum haematostictum,Visayan Flowerpecker,
Scarlet-collared Flowerpecker,Dicaeum retrocinctum,,
Cebu Flowerpecker,Dicaeum quadricolor,,
Buzzing Flowerpecker,Dicaeum hypoleucum,,
Olive-capped Flowerpecker,Dicaeum nigrilore,,
Pale-billed Flowerpecker,Dicaeum erythrorhynchos,,
Nilgiri Flowerpecker,Dicaeum concolor,,
Plain Flowerpecker,Dicaeum minullum,,
Pygmy Flowerpecker,Dicaeum pygmaeum,,
Crimson-crowned Flowerpecker,Dicaeum nehrkorni,,
Halmahera Flowerpecker,Dicaeum schistaceiceps,,
Buru Flowerpecker,Dicaeum erythrothorax,,
Ashy Flowerpecker,Dicaeum vulneratum,,
Olive-crowned Flowerpecker,Dicaeum pectorale,,
Blood-breasted Flowerpecker,Dicaeum sanguinolentum,,
Sumba Flowerpecker,Dicaeum wilhelminae,,
Timor Flowerpecker,Dicaeum hanieli,,
Scarlet-backed Flowerpecker,Dicaeum cruentatum,,
Scarlet-headed Flowerpecker,Dicaeum trochileum,,
Black-fronted Flowerpecker,Dicaeum igniferum,,
Red-chested Flowerpecker,Dicaeum maugei,Blue-cheeked Flowerpecker,
Grey-sided Flowerpecker,Dicaeum celebicum,,
Black-sided Flowerpecker,Dicaeum monticolum,,
Fire-breasted Flowerpecker,Dicaeum ignipectus,,
Cambodian Flowerpecker,Dicaeum cambodianum,,
Sumatran Flowerpecker,Dicaeum beccarii,,
Fire-throated Flowerpecker,Dicaeum luzoniense,,
Midget Flowerpecker,Dicaeum aeneum,,
Red-banded Flowerpecker,Dicaeum eximium,,
Mottled Flowerpecker,Dicaeum tristrami,White-mottled Flowerpecker,
Louisiade Flowerpecker,Dicaeum nitidum,,
Pink-breasted Flowerpecker,Dicaeum keiense,,
Aru Flowerpecker,Dicaeum ignicolle,,
Mistletoebird,Dicaeum hirundinaceum,,
Red-capped Flowerpecker,Dicaeum geelvinkianum,,
,Dicaeum australe,Red-striped Flowerpecker,
,Dicaeum aeruginosum,,
,Dicaeum anthonyi,,
,Dicaeum concolor,,
,Dicaeum sanguinolentum,,
,Dicaeum ignipectus,,
,Dicaeum hirundinaceum,,
,Dicaeum erythrothorax,,
,Dicaeum agile,,
Thick-billed Spiderhunter,Arachnothera crassirostris,,
Long-billed Spiderhunter,Arachnothera robusta,,
Little Spiderhunter,Arachnothera longirostra,,
Palawan Spiderhunter,Arachnothera dilutior,,
Orange-tufted Spiderhunter,Arachnothera flammifera,,
Purple-naped Spiderhunter,Arachnothera hypogrammica,Purple-naped Sunbird,Hypogramma hypogrammicum
Whitehead's Spiderhunter,Arachnothera juliae,,
Naked-faced Spiderhunter,Arachnothera clarae,,
Yellow-eared Spiderhunter,Arachnothera chrysogenys,,
Streaked Spiderhunter,Arachnothera magna,,
Spectacled Spiderhunter,Arachnothera flavigaster,,
Streaky-breasted Spiderhunter,Arachnothera affinis,,
Grey-breasted Spiderhunter,Arachnothera modesta,,
,Arachnothera longirostra,,
,Arachnothera affinis,,
,Arachnothera everetti,,
Ruby-cheeked Sunbird,Chalcoparia singalensis,,Anthreptes singalensis
Fraser's Sunbird,Deleornis fraseri,,
Grey-headed Sunbird,Deleornis axillaris,,
,Deleornis fraseri,"Fraser's Sunbird, Souimanga de Fraser",
Plain-backed Sunbird,Anthreptes reichenowi,Souimanga � dos brun�tre,
Anchieta's Sunbird,Anthreptes anchietae,"Red-and-blue Sunbird, Souimanga d'Anchieta",
Plain Sunbird,Anthreptes simplex,,
Brown-throated Sunbird,Anthreptes malacensis,,
Grey-throated Sunbird,Anthreptes griseigularis,,
Red-throated Sunbird,Anthreptes rhodolaemus,,Anthreptes rhodolaema
Mouse-brown Sunbird,Anthreptes gabonicus,"Mangrove Sunbird, Brown Sunbird, Souimanga brun",
Western Violet-backed Sunbird,Anthreptes longuemarei,"Souimanga violet, Violet-backed Sunbird",
Eastern Violet-backed Sunbird,Anthreptes orientalis,"Souimanga violet oriental, Kenya Violet-backed Sunbird",
Uluguru Violet-backed Sunbird,Anthreptes neglectus,Souimanga violet des Ulugurus,
Violet-tailed Sunbird,Anthreptes aurantius,Souimanga � queue violette,
Little Green Sunbird,Anthreptes seimundi,Nectarin de Seimund,Nectarinia seimundi
Yellow-chinned Sunbird,Anthreptes rectirostris,,
Grey-chinned Sunbird,Anthreptes tephrolaemus,,
Banded Sunbird,Anthreptes rubritorques,"Souimanga � collier brun, Banded Green Sunbird",
,Anthreptes rectirostris,Souimanga � gorge jaune,
,Anthreptes fraseri,Scarlet-tufted Sunbird,
,Anthreptes malacensis,,
,Anthreptes axillaris,,
Collared Sunbird,Hedydipna collaris,Souimanga � collier,Anthreptes collaris
Pygmy Sunbird,Hedydipna platura,Petit souimanga � longue queue,Anthreptes platurus
Nile Valley Sunbird,Hedydipna metallica,Souimanga du Nil,Anthreptes metallicus
Amani Sunbird,Hedydipna pallidigaster,Souimanga d'Usambara,Anthreptes pallidigaster
Reichenbach's Sunbird,Anabathmis reichenbachii,Souimanga de Reichenbach,Nectarinia reichenbachii
Principe Sunbird,Anabathmis hartlaubii,"Pr�ncipe Sunbird, Souimanga d'Hartlaub",Nectarinia hartlaubii
Newton's Sunbird,Anabathmis newtonii,"Newton's Yellow-breasted Sunbird, Souimanga de Newton",Nectarinia newtonii
Giant Sunbird,Dreptes thomensis,"Sao Tome Sunbird, Grand Souimanga de S�o Tom�, S�o Tom� Giant Sunbird",Dreptes thomensis; Nectarinia thomensis
Orange-breasted Sunbird,Anthobaphes violacea,Souimanga � poitrine dor�e,Nectarinia violacea
Green-headed Sunbird,Cyanomitra verticalis,Souimanga � t�te verte,Nectarinia verticalis
Bannerman's Sunbird,Cyanomitra bannermani,Nectarin de Bannerman,Nectarinia bannermani
Blue-throated Brown Sunbird,Cyanomitra cyanolaema,Souimanga � gorge bleue,Nectarinia cyanolaema
Cameroon Sunbird,Cyanomitra oritis,"Cameroon Blue-headed Sunbird, Souimanga � t�te bleue",Nectarinia oritis
Blue-headed Sunbird,Cyanomitra alinae,"Ruwenzori Blue-headed Sunbird, Souimanga � t�te bleue du Ruwenzori",Nectarinia alinae
Olive Sunbird,Cyanomitra olivacea,Nectarin oliv�tre,Nectarinia olivacea
Mouse-coloured Sunbird,Cyanomitra verreauxii,"Souimanga gris, Mouse-colored Sunbird, Grey Sunbird",Nectarinia veroxii
Buff-throated Sunbird,Chalcomitra adelberti,Souimanga � gorge rousse,Nectarinia adelberti
Carmelite Sunbird,Chalcomitra fuliginosa,Souimanga carm�lite,Nectarinia fuliginosa
Green-throated Sunbird,Chalcomitra rubescens,Souimanga � gorge verte,Nectarinia rubescens
Amethyst Sunbird,Chalcomitra amethystina,Nectarin am�thyste,Nectarinia amethystina
Scarlet-chested Sunbird,Chalcomitra senegalensis,Souimanga � poitrine rouge,Nectarinia senegalensis
Hunter's Sunbird,Chalcomitra hunteri,Souimanga de Hunter,Nectarinia hunteri
Socotra Sunbird,Chalcomitra balfouri,Souimanga de Socotra,Nectarinia balfouri
Purple-rumped Sunbird,Leptocoma zeylonica,,Nectarinia zeylonica
Crimson-backed Sunbird,Leptocoma minima,,Nectarinia minima
Maroon-bellied Sunbird,Leptocoma brasiliana,,
Purple-throated Sunbird,Leptocoma sperata,,
Orange-lined Sunbird,Leptocoma juliae,,
